round,player1_stack,opponent_stack,winner,actions
452,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
453,1020,980,Player1,0 call:20;0 call:0
454,1020,980,Player1,0 call:20;0 call:0
455,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
456,1020,980,Player1,0 call:20;0 call:0;0 call:0
457,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
458,1020,980,Player1,0 call:20;0 call:0;0 call:0
459,1010,990,Player1,no_actions
460,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
461,1020,980,Player1,0 call:20
462,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
463,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
464,1020,980,Player1,0 call:20;0 call:0
465,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
466,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
467,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
468,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
469,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
470,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
471,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
472,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
473,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
474,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
475,1020,980,Player1,0 call:20
476,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
477,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
478,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
479,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
480,1020,980,Player1,0 call:20;0 call:0
481,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
482,1010,990,Player1,no_actions
483,1020,980,Player1,0 call:20
484,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
485,1020,980,Player1,0 call:20
486,1020,980,Player1,0 call:20;0 call:0;0 call:0
487,1020,980,Player1,0 call:20;0 call:0
488,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
489,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
490,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
491,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
492,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
493,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
494,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
495,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
496,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
497,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
498,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
499,1020,980,Player1,0 call:20;0 call:0
500,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
501,1020,980,Player1,0 call:20
502,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
503,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
504,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
505,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
506,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
507,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
508,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
509,1020,980,Player1,0 call:20;0 call:0
510,1030,970,Player1,0 call:30
511,1020,980,Player1,0 call:20;0 call:0
512,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
513,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
514,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
515,1010,990,Player1,no_actions
516,1020,980,Player1,0 call:20
517,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
518,1020,980,Player1,0 call:20;0 call:0;0 call:0
519,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
520,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
521,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
522,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
523,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
524,1020,980,Player1,0 call:20;0 call:0
525,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
526,1020,980,Player1,0 call:20;0 call:0
527,1010,990,Player1,no_actions
528,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
529,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
530,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
531,1010,990,Player1,no_actions
532,1020,980,Player1,0 call:20;0 call:0
533,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
534,1020,980,Player1,0 call:20;0 call:0;0 call:0
535,1010,990,Player1,no_actions
536,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
537,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
538,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
539,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
540,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
541,1020,980,Player1,0 call:20;0 call:0;0 call:0
542,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
543,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
544,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
545,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
546,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
547,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
548,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
549,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
550,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
551,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
552,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
553,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
554,1020,980,Player1,0 call:20;0 call:0
555,1020,980,Player1,0 call:20;0 call:0
556,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
557,1010,990,Player1,no_actions
558,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
559,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
560,1010,990,Player1,no_actions
561,1020,980,Player1,0 call:20;0 call:0
562,1020,980,Player1,0 call:20
563,1020,980,Player1,0 call:20;0 call:0;0 call:0
564,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
565,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
566,1020,980,Player1,0 call:20
567,1020,980,Player1,0 call:20;0 call:0
568,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
569,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
570,1020,980,Player1,0 call:20
571,1020,980,Player1,0 call:20
572,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
573,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
574,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
575,1020,980,Player1,0 call:20;0 call:0
576,1010,990,Player1,no_actions
577,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
578,1020,980,Player1,0 call:20
579,1020,980,Player1,0 call:20
580,1020,980,Player1,0 call:20
581,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
582,1010,990,Player1,no_actions
583,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
584,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
585,1020,980,Player1,0 call:20;0 call:0
586,1020,980,Player1,0 call:20;0 call:0
587,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
588,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
589,1020,980,Player1,0 call:20
590,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
591,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
592,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
593,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
594,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
595,1020,980,Player1,0 call:20;0 call:0;0 call:0
596,1020,980,Player1,0 call:20;0 call:0;0 call:0
597,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
598,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
599,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
600,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
601,1010,990,Player1,no_actions
602,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
603,1020,980,Player1,0 call:20
604,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
605,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
606,1020,980,Player1,0 call:20;0 call:0
607,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
608,1020,980,Player1,0 call:20
609,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
610,1020,980,Player1,0 call:20;0 call:0
611,1020,980,Player1,0 call:20;0 call:0
612,1020,980,Player1,0 call:20;0 call:0
613,1020,980,Player1,0 call:20
614,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
615,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
616,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
617,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
618,1010,990,Player1,no_actions
619,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
620,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
621,1010,990,Player1,no_actions
622,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
623,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
624,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
625,1020,980,Player1,0 call:20;0 call:0
626,1020,980,Player1,0 call:20;0 call:0
627,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
628,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
629,1010,990,Player1,no_actions
630,1020,980,Player1,0 call:20;0 call:0
631,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
632,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
633,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
634,1020,980,Player1,0 call:20;0 call:0
635,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
636,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
637,1020,980,Player1,0 call:20;0 call:0
638,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
639,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
640,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
641,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
642,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
643,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
644,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
645,1020,980,Player1,0 call:20
646,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
647,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
648,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
649,1020,980,Player1,0 call:20;0 call:0;0 call:0
650,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
651,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
652,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
653,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
654,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
655,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
656,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
657,1010,990,Player1,no_actions
658,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
659,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
660,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
661,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
662,1020,980,Player1,0 call:20;0 call:0;0 call:0
663,1020,980,Player1,0 call:20
664,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
665,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
666,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
667,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
668,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
669,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
670,1020,980,Player1,0 call:20;0 call:0;0 call:0
671,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
672,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
673,1020,980,Player1,0 call:20;0 call:0;0 call:0
674,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
675,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
676,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
677,1020,980,Player1,0 call:20;0 call:0
678,1020,980,Player1,0 call:20
679,1020,980,Player1,0 call:20;0 call:0;0 call:0
680,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
681,1010,990,Player1,no_actions
682,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
683,1020,980,Player1,0 call:20;0 call:0
684,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
685,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
686,1020,980,Player1,0 call:20;0 call:0;0 call:0
687,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
688,1020,980,Player1,0 call:20;0 call:0;0 call:0
689,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
690,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
691,1020,980,Player1,0 call:20;0 call:0;0 call:0
692,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
693,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
694,1010,990,Player1,no_actions
695,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
696,1020,980,Player1,0 call:20;0 call:0
697,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
698,1010,990,Player1,no_actions
699,1020,980,Player1,0 call:20;0 call:0;0 call:0
700,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
701,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
702,1020,980,Player1,0 call:20;0 call:0;0 call:0
703,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
704,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
705,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
706,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
707,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
708,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
709,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
710,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
711,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
712,1020,980,Player1,0 call:20
713,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
714,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
715,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
716,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
717,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
718,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
719,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
720,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
721,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
722,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
723,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
724,1010,990,Player1,no_actions
725,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
726,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
727,1010,990,Player1,no_actions
728,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
729,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
730,1010,990,Player1,no_actions
731,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
732,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
733,1020,980,Player1,0 call:20;0 call:0;0 call:0
734,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
735,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
736,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
737,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
738,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
739,1020,980,Player1,0 call:20
740,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
741,1020,980,Player1,0 call:20;0 call:0;0 call:0
742,1010,990,Player1,no_actions
743,1020,980,Player1,0 call:20;0 call:0
744,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
745,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
746,1020,980,Player1,0 call:20;0 call:0
747,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
748,1020,980,Player1,0 call:20;0 call:0;0 call:0
749,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
750,1020,980,Player1,0 call:20;0 call:0;0 call:0
751,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
752,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
753,1020,980,Player1,0 call:20;0 call:0
754,1020,980,Player1,0 call:20;0 call:0
755,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
756,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
757,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
758,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
759,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
760,1010,990,Player1,no_actions
761,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
762,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
763,1020,980,Player1,0 call:20;0 call:0;0 call:0
764,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
765,1020,980,Player1,0 call:20;0 call:0
766,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
767,1020,980,Player1,0 call:20;0 call:0
768,1020,980,Player1,0 call:20;0 call:0;0 call:0
769,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
770,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
771,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
772,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
773,1020,980,Player1,0 call:20;0 call:0;0 call:0
774,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
775,1020,980,Player1,0 call:20;0 call:0
776,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
777,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
778,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
779,1020,980,Player1,0 call:20
780,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
781,1020,980,Player1,0 call:20;0 call:0
782,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
783,1010,990,Player1,no_actions
784,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
785,1020,980,Player1,0 call:20;0 call:0;0 call:0
786,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
787,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
788,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
789,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
790,1010,990,Player1,no_actions
791,1020,980,Player1,0 call:20
792,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
793,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
794,1020,980,Player1,0 call:20;0 call:0;0 call:0
795,1020,980,Player1,0 call:20
796,1020,980,Player1,0 call:20;0 call:0;0 call:0
797,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
798,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
799,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
800,1010,990,Player1,no_actions
801,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
802,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
803,1020,980,Player1,0 call:20
804,1020,980,Player1,0 call:20
805,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
806,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
807,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
808,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
809,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
810,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
811,1020,980,Player1,0 call:20;0 call:0
812,1020,980,Player1,0 call:20;0 call:0
813,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
814,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
815,1010,990,Player1,no_actions
816,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
817,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
818,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
819,1020,980,Player1,0 call:20;0 call:0
820,1020,980,Player1,0 call:20;0 call:0;0 call:0
821,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
822,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
823,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
824,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
825,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
826,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
827,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
828,1020,980,Player1,0 call:20;0 call:0
829,1020,980,Player1,0 call:20;0 call:0
830,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
831,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
832,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
833,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
834,1020,980,Player1,0 call:20;0 call:0
835,1020,980,Player1,0 call:20
836,1000,1000,Player1,0 call:20;0 call:0;0 call:0;0 call:0
837,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
838,1010,990,Player1,no_actions
839,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
840,1020,980,Player1,0 call:20;0 call:0
841,1020,980,Player1,0 call:20;0 call:0
842,1020,980,Player1,0 call:20;0 call:0;0 call:0
843,1020,980,Player1,0 call:20;0 call:0
844,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
845,1020,980,Player1,0 call:20;0 call:0
846,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
847,1010,990,Player1,no_actions
848,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
849,1010,990,Player1,no_actions
850,1020,980,Player1,0 call:20;0 call:0
851,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
852,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
853,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
854,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
855,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
856,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
857,1020,980,Player1,0 call:20;0 call:0
858,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
859,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
860,1020,980,Player1,0 call:20
861,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
862,1020,980,Player1,0 call:20
863,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
864,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
865,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
866,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
867,1020,980,Player1,0 call:20
868,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
869,1020,980,Player1,0 call:20
870,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
871,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
872,1020,980,Player1,0 call:20
873,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
874,1000,1000,Player1,0 call:20;0 call:0;0 call:0;0 call:0
875,1020,980,Player1,0 call:20;0 call:0
876,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
877,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
878,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
879,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
880,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
881,1020,980,Player1,0 call:20
882,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
883,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
884,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
885,1020,980,Player1,0 call:20;0 call:0;0 call:0
886,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
887,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
888,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
889,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
890,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
891,1020,980,Player1,0 call:20;0 call:0
892,1020,980,Player1,0 call:20;0 call:0;0 call:0
893,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
894,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
895,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
896,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
897,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
898,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
899,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
900,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
901,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
902,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
903,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
904,1010,990,Player1,no_actions
