round,player1_stack,opponent_stack,winner,actions
79,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
80,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
81,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
82,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
83,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
84,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
85,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
86,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
87,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
88,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
89,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
90,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
91,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
92,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
93,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
94,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
95,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
96,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
97,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
98,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
99,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
100,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
101,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
102,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
103,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
104,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
105,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
106,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
107,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
108,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
109,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
110,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
111,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
112,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
113,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
114,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
115,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
116,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
117,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
118,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
119,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
120,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
121,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
122,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
123,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
124,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
125,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
126,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
127,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
128,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
129,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
130,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
131,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
132,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
133,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
134,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
135,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
136,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
137,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
138,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
139,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
140,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
141,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
142,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
143,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
144,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
145,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
146,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
147,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
148,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
149,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
150,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
151,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
152,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
153,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
154,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
155,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
156,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
157,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
158,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
159,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
160,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
161,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
162,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
163,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
164,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
165,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
166,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
167,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
168,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
169,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
170,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
171,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
