round,player1_stack,opponent_stack,winner,actions
79,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
80,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
81,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
82,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
83,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
84,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
85,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
86,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
87,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
88,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
89,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
90,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
91,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
92,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
93,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
94,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
95,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
96,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
97,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
98,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
99,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
100,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
101,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
102,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
103,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
104,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
105,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
106,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
107,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
108,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
109,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
110,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
111,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
112,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
113,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
114,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
115,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
116,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
117,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
118,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
119,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
120,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
