game_index,cumulative_win_rate
1,0.0
2,0.0
3,0.3333333333333333
4,0.25
5,0.2
6,0.16666666666666666
7,0.14285714285714285
8,0.125
9,0.2222222222222222
10,0.2
11,0.2727272727272727
12,0.25
13,0.23076923076923078
14,0.21428571428571427
15,0.2
16,0.1875
17,0.23529411764705882
18,0.2222222222222222
19,0.21052631578947367
20,0.2
21,0.23809523809523808
22,0.2727272727272727
23,0.2608695652173913
24,0.2916666666666667
25,0.28
26,0.2692307692307692
27,0.25925925925925924
28,0.2857142857142857
29,0.3103448275862069
30,0.3
31,0.3225806451612903
32,0.34375
33,0.3333333333333333
34,0.35294117647058826
35,0.37142857142857144
36,0.3611111111111111
37,0.3783783783783784
38,0.39473684210526316
39,0.38461538461538464
40,0.4
41,0.3902439024390244
42,0.38095238095238093
43,0.3953488372093023
44,0.38636363636363635
45,0.4
46,0.391304347826087
47,0.40425531914893614
48,0.3958333333333333
49,0.3877551020408163
50,0.38
51,0.37254901960784315
52,0.36538461538461536
53,0.3584905660377358
54,0.35185185185185186
55,0.36363636363636365
56,0.35714285714285715
57,0.3508771929824561
58,0.3448275862068966
59,0.3389830508474576
60,0.35
61,0.3442622950819672
62,0.3387096774193548
63,0.3333333333333333
64,0.34375
65,0.3384615384615385
66,0.3333333333333333
67,0.34328358208955223
68,0.35294117647058826
69,0.34782608695652173
70,0.34285714285714286
71,0.3380281690140845
72,0.3472222222222222
73,0.3424657534246575
74,0.33783783783783783
75,0.3333333333333333
76,0.32894736842105265
77,0.3246753246753247
78,0.32051282051282054
79,0.3291139240506329
80,0.3375
81,0.3333333333333333
82,0.32926829268292684
83,0.3373493975903614
84,0.3333333333333333
85,0.32941176470588235
86,0.32558139534883723
87,0.3218390804597701
88,0.3181818181818182
89,0.3146067415730337
90,0.3111111111111111
91,0.3076923076923077
92,0.30434782608695654
93,0.3010752688172043
94,0.30851063829787234
95,0.30526315789473685
96,0.3020833333333333
97,0.29896907216494845
98,0.29591836734693877
99,0.29292929292929293
100,0.29
101,0.2871287128712871
102,0.29411764705882354
103,0.30097087378640774
104,0.3076923076923077
105,0.3047619047619048
106,0.3018867924528302
107,0.29906542056074764
108,0.2962962962962963
109,0.29357798165137616
110,0.3
111,0.2972972972972973
112,0.30357142857142855
113,0.3008849557522124
114,0.2982456140350877
115,0.30434782608695654
116,0.3103448275862069
117,0.3076923076923077
118,0.3050847457627119
119,0.3025210084033613
120,0.3
121,0.2975206611570248
122,0.30327868852459017
123,0.3008130081300813
124,0.29838709677419356
125,0.296
126,0.29365079365079366
127,0.29133858267716534
128,0.2890625
129,0.2868217054263566
130,0.2846153846153846
131,0.2900763358778626
132,0.29545454545454547
133,0.2932330827067669
134,0.291044776119403
135,0.28888888888888886
136,0.29411764705882354
137,0.29927007299270075
138,0.2971014492753623
139,0.2949640287769784
140,0.3
141,0.2978723404255319
142,0.29577464788732394
143,0.2937062937062937
144,0.2916666666666667
145,0.2896551724137931
